"","mean","std","mode","std/mean","max","min","attack","file"
"627",93.88,0.130384048104052,93.8,0.00138883732535207,94.1,93.8,0,"bis_limpio_21-06.csv"
"628",93.56,0.288097205817758,93.5,0.00307927753118595,94,93.2,0,"bis_limpio_21-06.csv"
"629",93.1,0.254950975679637,92.9,0.00273846375595744,93.5,92.9,0,"bis_limpio_21-06.csv"
"630",92.56,0.0894427190999921,92.5,0.000966321511451945,92.7,92.5,0,"bis_limpio_21-06.csv"
"631",92.98,0.268328157299972,93.1,0.00288586962034816,93.1,92.5,0,"bis_limpio_21-06.csv"
"632",93.96,0.350713558335006,93.5,0.00373258363489789,94.4,93.5,0,"bis_limpio_21-06.csv"
"633",94.52,0.342052627529743,94.4,0.00361883863235022,95,94.1,0,"bis_limpio_21-06.csv"
"634",94.84,0.230217288664429,94.6,0.00242742818077213,95.1,94.6,0,"bis_limpio_21-06.csv"
"635",94.6,0,94.6,0,94.6,94.6,0,"bis_limpio_21-06.csv"
"636",94.94,0.260768096208107,95,0.00274666206244056,95.3,94.6,0,"bis_limpio_21-06.csv"
"637",93.04,0.541294744108974,93.8,0.00581787128234065,93.8,92.3,0,"bis_limpio_21-06.csv"
"638",92.6,0.353553390593275,92.7,0.00381807117271355,93,92.1,0,"bis_limpio_21-06.csv"
"639",93.78,0.526307894677628,93.7,0.00561215498696554,94.6,93.2,0,"bis_limpio_21-06.csv"
"640",95.14,0.0894427190999937,95.2,0.000940116870926988,95.2,95,0,"bis_limpio_21-06.csv"
"641",94.74,0.409878030638384,94.6,0.0043263461118681,95.2,94.2,0,"bis_limpio_21-06.csv"
"642",94.52,0.268328157299972,94.4,0.00283885058506107,95,94.4,0,"bis_limpio_21-06.csv"
"643",94.46,0.0547722557505135,94.5,0.000579846027424449,94.5,94.4,0,"bis_limpio_21-06.csv"
"644",94.72,0.130384048104057,94.6,0.0013765207781256,94.9,94.6,0,"bis_limpio_21-06.csv"
"645",95.06,0.0894427190999865,95.1,0.000940908048600742,95.1,94.9,0,"bis_limpio_21-06.csv"
"646",95.38,0.327108544675925,95.7,0.00342952971981469,95.7,95,0,"bis_limpio_21-06.csv"
"647",94.4,0.561248608016088,95.1,0.00594543016966195,95.1,93.8,0,"bis_limpio_21-06.csv"
"648",93.96,0.134164078649986,93.9,0.0014278850431033,94.2,93.9,0,"bis_limpio_21-06.csv"
"649",94.56,0.328633534503097,94.8,0.00347539693848452,94.8,94.2,0,"bis_limpio_21-06.csv"
"650",94.4,0.367423461417477,94.8,0.00389219768450717,94.8,94.1,0,"bis_limpio_21-06.csv"
"651",95.26,0.642650760522385,94.3,0.00674628134077666,96.1,94.3,0,"bis_limpio_21-06.csv"
"652",95.52,0.268328157299972,95.4,0.00280913062499971,96,95.4,0,"bis_limpio_21-06.csv"
"653",96.04,0.568330889535318,96.4,0.00591764774609868,96.4,95.1,0,"bis_limpio_21-06.csv"
"654",96.14,0.167332005306812,96.3,0.00174050348769308,96.3,95.9,0,"bis_limpio_21-06.csv"
"655",95.64,0.230217288664426,95.8,0.00240712346993336,95.8,95.3,0,"bis_limpio_21-06.csv"
"656",94.66,0.676756972627546,94,0.00714934473513148,95.4,94,0,"bis_limpio_21-06.csv"
"657",94.96,0.867755725996667,94,0.00913811842877703,96.2,94,0,"bis_limpio_21-06.csv"
"658",96.2,0,96.2,0,96.2,96.2,0,"bis_limpio_21-06.csv"
"659",96.2,0,96.2,0,96.2,96.2,0,"bis_limpio_21-06.csv"
